appid,name,median_playtime
10,Counter-Strike,317
20,Team Fortress Classic,62
30,Day of Defeat,34
40,Deathmatch Classic,184
50,Half-Life: Opposing Force,415
60,Ricochet,10
70,Half-Life,83
80,Counter-Strike: Condition Zero,43
130,Half-Life: Blue Shift,205
220,Half-Life 2,402
240,Counter-Strike: Source,400
280,Half-Life: Source,214
300,Day of Defeat: Source,134
320,Half-Life 2: Deathmatch,32
340,Half-Life 2: Lost Coast,29
360,Half-Life Deathmatch: Source,81
380,Half-Life 2: Episode One,184
400,Portal,137
420,Half-Life 2: Episode Two,301
440,Team Fortress 2,623
500,Left 4 Dead,278
550,Left 4 Dead 2,566
570,Dota 2,801
620,Portal 2,520
630,Alien Swarm,83
730,Counter-Strike: Global Offensive,6502
1200,Red Orchestra: Ostfront 41-45,258
1250,Killing Floor,306
1500,Darwinia,273
1510,Uplink,77
1520,DEFCON,119
1530,Multiwinia,224
1640,Disciples II: Gallean's Return,12
1690,Space Empires V,35
1700,Arx Fatalis,21
1840,Source Filmmaker,77
1900,Earth 2160,414
1930,Two Worlds Epic Edition,422
2100,Dark Messiah of Might & Magic,700
2200,Quake III Arena,103
2210,Quake IV,32
2270,Wolfenstein 3D,110
2280,Ultimate Doom,179
2290,Final DOOM,114
2300,DOOM II,78
2310,QUAKE,189
2320,QUAKE II,349
2330,QUAKE II Mission Pack: The Reckoning,32
2340,QUAKE II Mission Pack: Ground Zero,1
2360,HeXen: Beyond Heretic,50
2400,The Ship: Murder Party,239
2450,Bloody Good Time,193
2500,Shadowgrounds,258
2600,Vampire: The Masquerade - Bloodlines,202
2610,GUN™,889
2620,Call of Duty®,849
2630,Call of Duty® 2,1041
2800,X2: The Threat,732
2810,X3: Reunion,1232
2820,X3: Terran Conflict,1273
2840,X: Beyond the Frontier,648
2850,X: Tension,13
2870,X Rebirth,3386
2990,FlatOut 2™,351
3010,Xpand Rally,939
3020,Call of Juarez™,60
3170,King's Bounty: Armored Princess,1429
3260,Safecracker: The Ultimate Puzzle Adventure,1
3270,Painkiller Overdose,270
3330,Zuma Deluxe,267
3480,Peggle Deluxe,254
3483,Peggle Extreme,1
3540,Peggle™ Nights,237
3590,Plants vs. Zombies GOTY Edition,374
3700,Sniper Elite,371
3710,Judge Dredd: Dredd vs. Death,8
3720,Evil Genius,318
3730,Aliens versus Predator Classic 2000,24
3810,BloodRayne,111
3820,BloodRayne 2,771
3830,Psychonauts,232
3900,Sid Meier's Civilization® IV,64
3910,Sid Meier's Civilization® III Complete,13
3920,Sid Meier's Pirates!,436
4000,Garry's Mod,1875
4300,RoboBlitz,78
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,360
4520,Full Spectrum Warrior,244
4530,Full Spectrum Warrior: Ten Hammers,1
4560,Company of Heroes - Legacy Edition,186
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",340
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade",620
4700,Total War: MEDIEVAL II – Definitive Edition,361
4720,Condemned: Criminal Origins,312
4760,Rome: Total War™ - Collection,1192
4770,Rome: Total War™ - Alexander,33
4850,Cossacks: Back to War,1208
4880,Cossacks: European Wars,1
4890,Cossacks II: Battle for Europe,71
4920,Natural Selection 2,253
6000,STAR WARS™ Republic Commando™,265
6010,Indiana Jones® and the Fate of Atlantis™,804
6020,STAR WARS™ Jedi Knight - Jedi Academy™,174
